clothing_ensemble,whole_body,head,neck,chest,back,pelvis,left_shoulder,left_arm,left_hand,right_shoulder,right_arm,right_hand,left_thigh,left_leg,left_foot,right_thigh,right_leg,right_foot
"bra+panty, thin dress shirts, long pants, cashmere sweater, socks, sneakers",0.87,0.1,0.1,2.4,1.72,1.67,1.33,1.23,0.08,1.33,1.23,0.08,0.61,0.47,0.77,0.61,0.47,0.77
"bra+panty, T-shirt, long sleeve shirts, long pants, winter jacket, socks, sneakers",1.15,0.12,0.12,4.37,2.56,2.14,2.72,2.23,0.19,2.72,2.23,0.19,0.82,0.57,0.7,0.82,0.57,0.7
"bra+panty, T-shirt, long sleeve shirts, jeans, sports jumper, socks, sneakers",1.07,0.28,0.28,3.99,2.12,2,1.7,1.36,0.1,1.7,1.36,0.1,0.92,0.48,1.07,0.92,0.48,1.07
"bra+panty, T-shirt, long sleeve shirts, long pants, ventura jacket, socks, sneakers",0.9,0.09,0.09,2.66,1.42,1.57,1.32,0.99,0.14,1.32,0.99,0.14,0.73,0.66,0.85,0.73,0.66,0.85
"bra+panty, turtle neck, long pants, short trench coat, socks, sneakers",1.24,0.06,0.06,3.22,1.99,2.03,1.62,1.5,0.37,1.62,1.5,0.37,1.51,0.65,0.8,1.51,0.65,0.8
"bra+panty, T-shirt, long sleeve shirts, long pants, winter jacket, socks, sneakers",1.08,0.31,0.31,3.76,2,1.92,2,1.37,0.25,2,1.37,0.25,0.83,0.61,1.08,0.83,0.61,1.08
"bra+panty, tank top, long sleeve shirts, blazer, skirt, sandals",0.86,0,0,3.24,1.81,2.06,1.98,1.13,0.07,1.98,1.13,0.07,1.19,0.04,0.44,1.19,0.04,0.44
"bra+panty, long sleeve shirts, wool skirt, socks, formal shoes",0.59,0,0,1.21,0.74,1.56,0.44,0.24,0.17,0.44,0.24,0.17,1.52,0.09,0.74,1.52,0.09,0.74
"bra+panty, turtleneck, wool skirt, socks, formal shoes",0.7,0,0,1.11,0.94,1.52,0.73,0.62,0.14,0.73,0.62,0.14,1.53,0.09,0.85,1.53,0.09,0.85
"bra+panty, long sleeve shirt, wool skirt, sweater, socks, formal shoes",0.91,0.14,0.14,2.82,1.53,1.79,1.22,0.97,0.08,1.22,0.97,0.08,1.53,0.11,0.83,1.53,0.11,0.83
"bra+panty, thin dress shirts, slacks, tie, socks, sneakers",0.57,0,0,1.69,0.8,1.08,0.67,0.58,0.07,0.67,0.58,0.07,0.36,0.39,0.74,0.36,0.39,0.74
"bra+panty, thin dress shirts, slacks, blazer, tie, belt, socks, formal shoes",0.93,0,0,3.6,1.83,1.71,2.16,1.49,0.13,2.16,1.49,0.13,0.64,0.43,0.69,0.64,0.43,0.69
"bra+panty, long sleeve shirts, long pants, blazer, socks, sneakers",0.96,0.04,0.04,3.3,1.67,2.2,2.1,1.43,0.09,2.1,1.43,0.09,0.72,0.42,0.67,0.72,0.42,0.67
"bra+panty, T-shirt, long sleeve shirts, long pants, winter jacket (Notica)",1.05,0.04,0.04,3.88,2.26,1.97,1.82,1.46,0.17,1.82,1.46,0.17,0.81,0.57,0.78,0.81,0.57,0.78
"bra+panty, T-shirt, long sleeve shirts, long pants, winter jacket, socks, sneakers",1.18,0.65,0.65,5.26,3.07,2.2,3.14,2.07,0.08,3.14,2.07,0.08,0.67,0.54,0.77,0.67,0.54,0.77
"bra+panty, turtle neck, ski-jumper, skin pants, sports socks, sports shoes",1.84,0.89,0.89,5.24,2.87,2.64,2.55,2.16,0.46,2.55,2.16,0.46,1.49,1.82,1.56,1.49,1.82,1.56
"bra+panty, turtle neck, ski-jumper and hood, skin pants, sports socks, sports shoes",1.87,1.63,1.63,5.12,2.7,2.57,2.58,2.16,0.49,2.58,2.16,0.49,1.44,1.76,1.54,1.44,1.76,1.54
"bra+panty, turtle neck, goose down, ski pants, sports socks, sports shoes",2.53,1.17,1.17,15.44,5.5,5.2,6.55,5.58,0.35,6.55,5.58,0.35,2.12,1.7,1.54,2.12,1.7,1.54
"bra+panty, turtle neck, goose down-with hood, ski pants, sports socks, sports shoes",2.75,3.52,3.52,12.62,3.99,5.05,6.2,5.73,0.53,6.2,5.73,0.53,2.11,1.81,1.58,2.11,1.81,1.58
"bra+panty, turtle neck, goose down-with hood and gloves, ski pants, sports socks, sports shoes",3.27,3.92,3.92,16.13,4.47,5.71,7.12,5.37,2.54,7.12,5.37,2.54,2.14,1.82,1.61,2.14,1.82,1.61
"briefs, socks, T-shirt, half pants, sneakers",0.53,0.00,0.00,0.50,1.13,1.21,0.39,0.00,0.00,0.39,0.00,0.00,0.94,0.07,0.62,0.94,0.07,0.62
"briefs, undershirt, sports t-shirts, sports shorts",0.70,0.00,0.00,0.90,1.76,2.14,0.48,0.00,0.00,0.48,0.00,0.00,1.18,0.00,0.01,1.18,0.00,0.01
"briefs, socks, polo shirt, long pants, sneakers",0.54,0.02,0.02,0.52,0.97,1.12,0.34,0.00,0.00,0.34,0.00,0.00,0.79,0.56,0.65,0.79,0.56,0.65
"briefs, under shirt, long-sleeved shirt, long pants",1.01,0.00,0.00,1.20,1.65,2.29,0.98,0.78,0.03,0.98,0.78,0.03,1.46,0.62,0.02,1.46,0.62,0.02
"briefs, socks, undershirt, short-sleeved shirt, long pants, belt, shoes",0.72,0.01,0.01,0.80,1.40,1.55,0.54,0.00,0.00,0.54,0.00,0.00,0.89,0.64,0.99,0.89,0.64,0.99
"briefs, socks, undershirt, long-sleeved shirt, long pants, belt",0.77,0.00,0.00,0.86,1.45,1.54,0.82,0.60,0.01,0.82,0.60,0.01,0.90,0.66,0.64,0.90,0.66,0.64
"briefs, socks, undershirt, long-sleeved shirt, jacket, long pants, belt, shoes",1.39,0.02,0.02,2.13,2.28,3.04,1.80,1.54,0.15,1.80,1.54,0.15,1.33,0.69,0.97,1.33,0.69,0.97
"briefs, socks, undershirt, work jacket, work pants, safety shoes",0.80,0.00,0.00,1.25,1.39,1.78,0.84,0.71,0.08,0.84,0.71,0.08,0.65,0.59,1.12,0.65,0.59,1.12
