Tr (°C),SWp (g/h),SWtotg (g/m²·h),Tre (°C),Dlimloss (min),Dlimtcr (min)
40.0,,,,,
35.0,,,,,
52.076755311536886,,,,,
30.0,,,,,
74.79236815652183,,,,,
