Case,tr (°C),SWp (g/h),SWtotg (g),tre (°C),Dlimloss (min),Dlimtcr (min)
1,40.0,761.0,6406.0,37.5,287,-
2,35.0,609.0,6421.0,40.9,250,63
3,52.1,716.0,6243.0,38.4,291,215
4,30.0,526.0,4625.0,38.0,392,-
5,74.8,671.0,5701.0,37.5,320,-
